keyword,match_type,ad_group,keyword_state,serving_state,historical_urls,normalized_urls,url_statuses,url_conflict,intent_class,macroarea,familia,intent_theme,classification_method,classification_confidence,impressions_max,clicks_max,conversions_max,source_rows
"""Agenda personalizada""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,2
"""agenda personalizada con logo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda personalizada para hombre""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agenda publicitaria""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas baratas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas biodegradables""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas con elastico""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,https://regalospremium.cl/cuadernos-libretas-memo-set/,https://regalospremium.cl/cuadernos-libretas-memo-set/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas con logo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas corporativas personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas de bolsillo baratas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas docentes personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas ecologicas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas economicas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas ejecutivas personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas escolares""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas escolares personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas impresas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas mini""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas para empresas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas pequeñas de bolsillo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas 2024""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas baratas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas con nombre""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas empresas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas online""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas para empresas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas para imprimir""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas personalizadas para regalo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas por mayor""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas promocionales""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas publicidad""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""agendas publicitarias 2023""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""artículos de oficina personalizados""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderita señalizadora de paginas adhesiva de plastico""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas de 2.5 cm x 4.3 paquete 50 piezas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas de colores""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas de plastico señalizadoras de paginas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas pastel""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas por mayor""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas post it""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas adhesivas transparentes""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas memo tip""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas post it transparentes""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas señaladoras""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""banderitas señaladoras adhesivas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""Bloc de notas reciclado con bolígrafo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Lápices y Bolígrafos,,keyword→objeto,HIGH,0,0,0.0,1
"""Cintas porta credenciales""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Promocionales,Lanyards,,keyword→objeto,HIGH,0,0,0.0,1
"""colorear cuaderno dibujo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""comprar agenda""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""comprar agendas personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""Comprar Cuaderno de Bamboo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""comprar cuadernos baratos""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""comprar libreta""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""comprar libretas baratas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""Comprar Libretas Ecológicas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""Comprar Memo Set Oficina""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""Concordancia amplia""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""croqueras personalizadas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""Cuadernillo de bolsillo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""cuadernillos de tapa dura""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,fallback grupo histórico,MEDIUM,0,0,0.0,1
"""cuaderno 24 hojas tapa dura""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno a3 tapa dura""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno a5 tapa dura""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno a5 tapa dura medidas""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,No apto,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno a6 tapa dura""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno con dibujos para colorear""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno corporativo""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
"""cuaderno de dibujo para colorear""",Concordancia de frase,Agendas Libretas Memo Set,Habilitado,Limitado,,,EMPTY,NO,PRODUCTO,Oficina y Escritura,Libretas y Cuadernos,,keyword→objeto,HIGH,0,0,0.0,1
